

 ------- Summary -----------

 Trial: 00

 Single Pointing

 IPA Pointing No:         100

 Pointing information:

 RA, Dec of Central Pointing:
 Nod 0:     53.1409714   -27.7919712

 Official Assigned APT/MPT roll angle:
 PA_AP:    99.574600

 Actual MSA roll angle:
 PA_AP:    99.579041
 PA_V3:   321.004456

 RA, Dec of Nodded Pointings:
 Nod 1:     53.1411352   -27.7919957
 Nod 2:     53.1408077   -27.7919468

 MSA mask intended for: PRISM/CLEAR         

 Acceptance Zone Thresholds:  0.343 0.420
 Acceptance Zone Open Area Filling Factor:  0.576

 Overlap Acceptance Threshold: 3.500

 Total number of targets in input catalog:           13119
 Number of targets in Viable Slitlets:                1565
 Number of accepted targets:                           155
 Number of added spare slitlets:                         0


 Target breakdown by Priority Class:

   PrCl   In Catalog   In Slitlets   Accepted   % Accepted
    1           4           4           4         100.00
    2           2           1           1         100.00
    3           4           1           1         100.00
    4         129          27          24          88.89
    5          19           4           2          50.00
    6          46           7           2          28.57
    7          89          14           5          35.71
    8           2           1           0           0.00
    9           5           0           0            NaN
   10          15           4           0           0.00
   11          20           3           1          33.33
   12         412          47          24          51.06
   13         830         103          25          24.27
   14        1502         166          22          13.25
   15        1910         237          19           8.02
   16           3           0           0            NaN
   17        2391         282           9           3.19
   18        2506         324          12           3.70
   19         466          60           0           0.00
   20        2127         280           4           1.43


 Accepted targets, assigned slitlets and intra-shutter locations:

  No    ID_sub        ID_cat  pri  k0 i0  j0   rx0    ry0    k2 i2  j2   rx2    ry2    k1 i1  j1   rx1    ry1
  57       611          9849  12   1 158  51 -0.079 -0.317   1 158  50 -0.068 -0.303   1 158  52 -0.091 -0.331
  58       633         13846  12   4 123  62  0.134 -0.410   4 123  61  0.128 -0.418   4 123  63  0.139 -0.402
  59       634          9515  12   4 105   3 -0.336 -0.276   4 105   2 -0.341 -0.279   4 105   4 -0.331 -0.273
  60       672         12170  12   2 151  86 -0.108 -0.072   2 151  85 -0.100 -0.082   2 151  87 -0.116 -0.062
  61       678          1892  12   3   6  97  0.184 -0.028   3   6  96  0.183 -0.018   3   6  98  0.184 -0.038
  62       681          6240  12   3  22  85  0.032  0.367   3  22  84  0.030  0.378   3  22  86  0.033  0.356
  63       692         13700  12   4 345  17  0.299 -0.254   4 345  16  0.286 -0.258   4 345  18  0.311 -0.251
  64       715         13839  12   4 353  45 -0.325 -0.064   4 353  44 -0.337 -0.069   4 353  46 -0.312 -0.058
  65       767          1645  13   4  98  21 -0.340 -0.078   4  98  20 -0.344 -0.082   4  98  22 -0.336 -0.073
  66       814          9609  13   1 109  47 -0.020  0.036   1 109  46 -0.007  0.051   1 109  48 -0.033  0.022
  67       833         14054  13   4 247  56  0.293  0.268   4 247  55  0.284  0.261   4 247  57  0.302  0.275
  68       844           798  13   3 184 137  0.160 -0.118   3 184 136  0.152 -0.111   3 184 138  0.168 -0.124
  69       855         58004  13   4 283 112  0.194 -0.128   4 283 111  0.184 -0.139   4 283 113  0.203 -0.116
  70       932          9858  13   1 138  69 -0.177  0.247   1 138  68 -0.165  0.259   1 138  70 -0.189  0.235
  71       938         13773  13   4 293   3 -0.277  0.381   4 293   2 -0.288  0.379   4 293   4 -0.266  0.384
  72       973           626  13   3 224 147  0.127  0.184   3 224 146  0.118  0.190   3 224 148  0.137  0.178
  73      1005         13301  13   4 251  52  0.067  0.144   4 251  51  0.058  0.138   4 251  53  0.076  0.151
  74      1067         13806  13   2  61  26 -0.183 -0.164   2  61  25 -0.171 -0.169   2  61  27 -0.195 -0.159
  75      1093         13475  13   3 355 115 -0.071 -0.172   3 355 114 -0.085 -0.163   3 355 116 -0.057 -0.181
  76      1157          5367  13   3  20 147  0.159  0.133   3  20 146  0.157  0.139   3  20 148  0.161  0.128
  77      1167         11356  13   3  18  73  0.314 -0.222   3  18  72  0.312 -0.210   3  18  74  0.315 -0.234
  78      1221          9707  13   3  20  48 -0.295  0.129   3  20  47 -0.297  0.144   3  20  49 -0.294  0.115
  79      1227         13797  13   2 177  51  0.302 -0.033   2 177  50  0.310 -0.041   2 177  52  0.295 -0.026
  80      1231         36262  13   4 203 151 -0.113  0.140   4 203 150 -0.120  0.125   4 203 152 -0.106  0.154
  81      1283          3681  13   1  15 170 -0.163 -0.029   1  15 169 -0.148 -0.025   1  15 171 -0.178 -0.032
  82      1291          9873  13   1  85  82 -0.236 -0.048   1  85  81 -0.222 -0.036   1  85  83 -0.250 -0.059
